student_id,registration_number,name,semester,course,attendance_percentage,previous_cgpa,study_hours_per_day,assignments_completed,extracurricular_activities,performance_category,Do I have any backlogs?
"STU0001","231FA04001","Aadhya Acharya",5,"B.Tech AI & Data Science",79.07,5.73,8.7,65,6,"Needs Improvement","Yes"
"STU0002","231FA04002","Aarav Acharya",5,"B.Tech Information Technology",60.42,7.19,9,40,1,"Needs Improvement","Yes"
"STU0003","231FA04003","Aarohi Acharya",4,"B.Tech Computer Science",81.08,9.53,2.6,100,2,"Good","No"
"STU0004","231FA04004","Abhinav Acharya",6,"B.Tech Information Technology",87.03,8.45,5,72,6,"Good","No"
"STU0005","231FA04005","Aditya Acharya",3,"B.Tech AI & Data Science",79.83,9.29,2.1,41,3,"Good","Yes"
"STU0006","231FA04006","Akanksha Acharya",1,"B.Tech AI & Data Science",89.37,5.16,6.2,66,3,"Needs Improvement","No"
"STU0007","231FA04007","Akhil Acharya",7,"B.Tech AI & Data Science",56.93,9.67,8.6,92,6,"Needs Improvement","No"
"STU0008","231FA04008","Akshara Acharya",6,"B.Tech Computer Science",92.26,5.5,5.9,79,1,"Needs Improvement","Yes"
"STU0009","231FA04009","Ananya Acharya",5,"B.Tech Information Technology",87.9,6.98,5.3,83,3,"Average","No"
"STU0010","231FA04010","Anish Acharya",1,"B.Tech Computer Science",81.27,5.19,8.9,76,2,"Needs Improvement","No"
"STU0011","231FA04011","Anjali Acharya",8,"B.Tech AI & Data Science",82.23,4.96,8.6,72,1,"Needs Improvement","No"
"STU0012","231FA04012","Ankita Acharya",1,"B.Tech Information Technology",93.01,9.82,7.4,63,6,"Good","No"
"STU0013","231FA04013","Arjun Acharya",5,"B.Tech Computer Science",91.2,8.71,4.7,90,7,"Excellent","No"
"STU0014","231FA04014","Bhavya Acharya",8,"B.Tech AI & Data Science",56.14,8.38,2.9,87,7,"Needs Improvement","Yes"
"STU0015","231FA04015","Charan Acharya",1,"B.Tech Information Technology",73.33,7.97,4.8,99,6,"Average","No"
"STU0016","231FA04016","Deepika Acharya",5,"B.Tech Information Technology",88.58,9.89,7.7,39,2,"Good","No"
"STU0017","231FA04017","Divya Acharya",6,"B.Tech Computer Science",96.62,8.11,4.8,52,3,"Good","No"
"STU0018","231FA04018","Gautham Acharya",5,"B.Tech AI & Data Science",96.62,9.23,5.3,46,7,"Good","No"
"STU0019","231FA04019","Harini Acharya",1,"B.Tech Information Technology",96.86,6.84,5.3,43,8,"Average","No"
"STU0020","231FA04020","Harsha Acharya",4,"B.Tech Computer Science",67.47,8.89,5.5,37,7,"Needs Improvement","Yes"
"STU0021","231FA04021","Hema Acharya",8,"B.Tech Information Technology",87.46,6.87,5.9,94,8,"Average","No"
"STU0022","231FA04022","Ishaan Acharya",8,"B.Tech Computer Science",79.68,6.52,5.2,66,1,"Average","No"
"STU0023","231FA04023","Jahnavi Acharya",6,"B.Tech AI & Data Science",73.41,8.56,2.1,56,5,"Average","Yes"
